RowID,Competitor,URL,Format,Domains
2180,vervoe,https://vervoe.com/10-best-applicant-tracking-systems/,Other / editorial,3
2181,vervoe,https://vervoe.com/15-essential-questions-to-ask-when-evaluating-ai-in-talent-acquisition/,Other / editorial,3
2182,vervoe,https://vervoe.com/a-beginners-guide-to-technical-skills-based-hiring/,Other / editorial,3
2184,vervoe,https://vervoe.com/assessing-soft-skills/,Other / editorial,3
2185,vervoe,https://vervoe.com/assessment-library/data-analyst/,Other / editorial,3
2193,vervoe,https://vervoe.com/consistent-region-ready-assessments-at-scale-with-ai-translation/,Other / editorial,3
2194,vervoe,https://vervoe.com/customers/,Other / editorial,3
2195,vervoe,https://vervoe.com/customers/klientboost/,Other / editorial,3
2197,vervoe,https://vervoe.com/features/anti-cheating/,Other / editorial,3
2198,vervoe,https://vervoe.com/future-ready-talent-pipeline-skills-based-hiring/,Other / editorial,3
2201,vervoe,https://vervoe.com/hiring-an-assistant/,Other / editorial,3
2202,vervoe,https://vervoe.com/hiring-for-emotional-intelligence/,Other / editorial,3
2208,vervoe,https://vervoe.com/job-audition/,Other / editorial,3
2214,vervoe,https://vervoe.com/product-update-candidate-cards-just-got-smarter-with-ai-summaries-and-interview-follow-ups/,Other / editorial,3
2216,vervoe,https://vervoe.com/recruitment-funnel/,Other / editorial,3
2218,vervoe,https://vervoe.com/recruitment-strategies/,Other / editorial,3
2219,vervoe,https://vervoe.com/reduce-attrition-with-skills-validation/,Other / editorial,3
2220,vervoe,https://vervoe.com/remote-candidate-experience/,Other / editorial,3
2223,vervoe,https://vervoe.com/skill-testing-validity/,Other / editorial,3
2225,vervoe,https://vervoe.com/skills-for-cybersecurity/,Other / editorial,3
2227,vervoe,https://vervoe.com/teacher-recruitment-strategies/,Other / editorial,3
2228,vervoe,https://vervoe.com/the-real-cost-of-training-a-new-hire/,Other / editorial,3
2232,vervoe,https://vervoe.com/whats-new-in-vervoe-smarter-tools-for-fairer-faster-more-secure-hiring/,Other / editorial,3
2235,vervoe,https://vervoe.com/5-different-ways-to-hire-software-engineers/,Other / editorial,2
2236,vervoe,https://vervoe.com/6-steps-great-candidate-experience/?ref=ghost.intevue.in,Other / editorial,2
2237,vervoe,https://vervoe.com/7-essential-skills-for-cross-functional-team-leaders/,Other / editorial,2
2238,vervoe,https://vervoe.com/a-negative-interview-experience-impacts-hiring-process/,Other / editorial,2
2239,vervoe,https://vervoe.com/about/,Other / editorial,2
2240,vervoe,https://vervoe.com/ai-bias-audit-results/,Other / editorial,2
2241,vervoe,https://vervoe.com/ai-hiring-bias/,Other / editorial,2
2244,vervoe,https://vervoe.com/assessment-library/category/admin-and-office/,Other / editorial,2
2259,wecp,https://www.wecreateproblems.com/recruitment-funnel-optimization,Other / editorial,46
2261,wecp,https://www.wecreateproblems.com/asynchronous-video-interview,Other / editorial,44
2262,wecp,https://www.wecreateproblems.com/all-you-should-know-about-hiring-a-kubernetes-developer,Other / editorial,41
2264,wecp,https://www.wecreateproblems.com/uber-interview-process,Other / editorial,40
2265,wecp,https://www.wecreateproblems.com/interview-to-offer-conversion,Other / editorial,34
2270,wecp,http://www.wecreateproblems.com/recruitment-funnel-optimization,Other / editorial,27
2272,wecp,https://www.wecreateproblems.com/hiring-reactjs-developer-read-this-must-do-screening-guide,Other / editorial,23
2273,wecp,https://www.wecreateproblems.com/online-exam-proctoring-settings,Other / editorial,23
2279,wecp,https://www.wecreateproblems.com/coding-assessments,Other / editorial,12
2286,wecp,https://www.wecreateproblems.com/schedule-demo,Other / editorial,6
2291,wecp,https://www.wecreateproblems.com/5-best-technical-skills-screening-software-2022,Other / editorial,4
2302,wecp,https://wecreateproblems.com/sherlock,Other / editorial,3
2303,wecp,https://www.wecreateproblems.com/ai,Other / editorial,3
2326,wecp,https://www.wecreateproblems.com/sherlock,Other / editorial,3
2396,wecp,https://wecreateproblems.com/screen,Other / editorial,1
2400,wecp,https://www.wecreateproblems.com/2000-technology-skill-tests-by-wecp,Other / editorial,1
2401,wecp,https://www.wecreateproblems.com/a-guide-to-tech-recruitment-for-non-tech-recruiters,Other / editorial,1
