RowID|BrandFit|AngleGap|Asset|DistinctAngle|Notes
298|TRANSPLANT|~2,000 words on cross-training benefits and tips; entirely post-hire L&D; no skills-gap assessment, no role-competency mapping, no hiring-stage content|Skills Gap & Role-Readiness Assessment Guide: How to Identify What to Hire For (with free competency mapping template)|swaps post-hire L&D framing for pre-hire: identifies the skills gaps you're trying to fill before you screen, includes a downloadable role-competency template — nothing the AIHR page offers|transplanted from: employee cross-training / L&D
300|TRANSPLANT|~2,500-word HR compliance guide focused on wage/hour law, FMLA, union law; no hiring-screening angle, no assessment compliance (adverse impact, EEOC validity requirements)|Hiring Compliance Checklist: EEOC, Adverse Impact & Pre-Employment Assessment Legal Requirements (2026)|transplants compliance format to assessment law: covers adverse impact ratios, EEOC Uniform Guidelines, lawful cognitive test use — the gap this page leaves entirely blank|transplanted from: HR regulatory/wage compliance
302|TRANSPLANT|13 training metrics for L&D programs; cheat sheet gated behind a form; zero metrics relevant to hiring or candidate screening|Hiring Assessment Metrics That Matter: 13 KPIs for Skills-Based Screening (free cheat sheet, no gate)|same numbered-metric format but aimed at recruiters not L&D; adds a free (ungated) cheat sheet covering time-to-screen, assessment completion rate, predictive validity, adverse-impact ratio — all four absent from the AIHR page|transplanted from: employee training / L&D metrics
303|TRANSPLANT|~2,800-word "HRIS 101" guide; covers payroll, time-tracking, benefits — hiring/ATS features mentioned briefly; no skills-assessment or structured-interview angle|Pre-Employment Assessment Platform 101: What It Is, How It Works, and How to Choose One (with buyer checklist)|transplants the "101 comprehensive guide" format to Testlify's core product category; adds an ungated buyer checklist (test library size, proctoring, ATS integrations, bias safeguards) — none of which the HRIS page addresses|transplanted from: HRIS software overview
304|ADJACENT|~3,000-word "AI benefits in HR" overview; covers chatbots, L&D, payroll automation; AI in hiring covered in ~200 words (one bullet on skills tests, one on video interviews); no depth on bias, validity, or how AI scoring works|How AI Hiring Assessments Work: The Recruiter's Plain-English Guide to AI Scoring, Bias Safeguards & What to Tell Candidates|same answer-bait format, focused entirely on the AI-in-hiring slice this page glosses over in a single bullet; explains AI scoring models, adverse-impact checks, and candidate-transparency obligations — the three questions the AIHR overview skips|
306|SKIP|||.|SKIP — digital employee experience (post-hire workplace tech UX); no hiring or assessment angle
307|ADJACENT|~2,800-word AI-and-automation-in-HR overview; recruitment/screening mentioned as a use case but covered in ~150 words with no depth on AI assessment scoring, proctoring, or validity; rest of piece covers onboarding, L&D, payroll|AI in Hiring & Candidate Screening: How It Actually Works (scoring models, proctoring, bias checks, compliance guide)|same answer-bait format but scoped entirely to the recruitment/assessment lane this page treats as a footnote; covers AI scoring mechanics, anti-cheating proctoring, adverse-impact monitoring, and legal disclosure requirements — all absent from the AIHR piece|
308|TRANSPLANT|~1,800-word beginner ML explainer for HR; supervised/unsupervised/reinforcement learning explained with generic examples; no application to candidate assessment or predictive hiring validity; educational but shallow on any one topic|How Machine Learning Powers Skills Assessment: A Recruiter-Friendly Explainer (with scoring transparency checklist)|transplants the "beginner ML explainer for HR" format to candidate-assessment scoring specifically: explains how ML ranks candidates on assessments, what features drive scores, how bias enters the model, and how to audit for fairness — none of which the AIHR page addresses|transplanted from: general ML concepts for HR
309|SKIP|||.|SKIP — employee benefits / compensation; off-limits (post-hire HR-ops)
312|SKIP|||.|SKIP — HR consultant career guide; general HR consulting role, no hiring-assessment angle
315|ADJACENT|~3,000-word "what is HR analytics" guide; mentions 80% increase in recruiting efficiency in the intro stat but covers workforce analytics broadly; no section on candidate-screening metrics, assessment predictive validity, or hiring-funnel analytics; no hiring benchmark data|Hiring Analytics 101: The Recruiter's Guide to Measuring Assessment Quality, Predictive Validity & Hiring Funnel Performance|same "what is + types + how to get started" format focused on the hiring/assessment analytics lane the AIHR page mentions in one sentence; covers assessment completion rate, predictive validity coefficient, adverse-impact ratio, and quality-of-hire correlation — none appear in the source page|
319|ADJACENT|~3,500-word DEIB overview covering workplace culture, belonging, and general inclusion; hiring bias mentioned briefly (one section on inclusive hiring with generic tips); no framework for structuring bias-resistant assessments, no adverse-impact measurement, no anonymized screening guidance|Bias-Resistant Hiring: A Practical Guide to Fair Assessments, Adverse Impact Measurement & Structured Interview Scorecards|same comprehensive DEIB-guide format but scoped to the hiring decision layer; adds concrete tools (adverse-impact ratio calculator logic, structured-scorecard template, blind-screening checklist) — the three practical deliverables absent from the AIHR page|
321|TRANSPLANT|~2,000-word "12 HR functions" overview; recruitment/selection is function #2 with ~300 words; no depth on candidate screening methods, assessment types, or how to evaluate selection tools; rest of page covers payroll, health/safety, L&D etc.|12 Core Hiring & Assessment Decisions Every Talent Team Faces (with method-by-method comparison guide)|transplants the "N key HR functions" listicle format to the hiring/assessment decision lane: 12 decisions (job analysis, screening method, test type, scoring model, proctoring level, interview structure, bias audit, ATS integration, candidate comms, pass-mark setting, offer timing, reporting) with a comparison guide for each — nothing the source page covers|transplanted from: general HR functions overview
322|SKIP|||.|SKIP — resilience training / employee wellbeing / L&D; post-hire, no hiring or assessment angle
323|TRANSPLANT|~1,800-word "11 AI applications in performance management" guide; all 11 uses are post-hire (feedback, goal-tracking, appraisals); AI in candidate assessment not mentioned; "predictive analytics" section is about tenure/performance not hiring|11 Practical Applications of AI in Candidate Screening & Assessment (with implementation checklist)|transplants the "N practical AI applications with actionable HR steps" format to pre-hire assessment: AI resume scoring, AI skills-test proctoring, AI interview analysis, bias-detection in scoring, AI-generated assessment reports, ATS auto-push of results — none of which the AIHR page covers|transplanted from: AI in performance management (post-hire)
326|SKIP|||.|SKIP — leadership development / L&D; post-hire training, no hiring or assessment angle
327|TRANSPLANT|~2,000-word "practical guide to training evaluation" using Kirkpatrick-model framing; all four levels (reaction, learning, behavior, results) applied to employee training programs; no application to candidate assessment quality, predictive validity, or selection tool evaluation|How to Evaluate a Pre-Employment Assessment: A Recruiter's Practical Guide to Validity, Reliability & ROI|transplants the "practical guide to evaluation with a 4-level framework" format to hiring-assessment quality: covers content validity (does the test reflect the job?), criterion validity (does the score predict performance?), adverse impact (does it discriminate?), and ROI (cost-per-quality-hire saved) — zero overlap with the training-evaluation source|transplanted from: employee training evaluation / L&D
331|TRANSPLANT|~2,000-word "20 employee training tools" roundup; all 20 tools are LMS/e-learning platforms; no pre-employment assessment platforms, skills-testing tools, or structured-interview software mentioned|20 Best Pre-Employment Assessment & Skills Testing Platforms Compared (2026 Buyer's Guide)|transplants the "N top tools with selection checklist" format to the pre-hire assessment software category; covers test library depth, proctoring options, ATS integrations, candidate experience ratings, pricing transparency — none of which the AIHR training-tools page addresses|transplanted from: employee training / LMS tools roundup
334|SKIP|||.|SKIP — employee promotion / internal mobility; post-hire talent management, no hiring or assessment angle
335|SKIP|||.|SKIP — sensitivity training for employees; post-hire D&I training, no hiring or assessment angle
336|SKIP|||.|SKIP — training new employees / onboarding; post-hire L&D, no hiring or assessment angle
