RowID|BrandFit|AngleGap|Asset|DistinctAngle|Notes
439|SKIP|||  |SKIP — total rewards strategy is compensation/benefits HR-ops, not hiring/assessment; outside Testlify's scope
442|SKIP|||  |SKIP — performance management strategies (post-hire L&D/performance review); outside Testlify's buyer lane
443|SKIP|||  |SKIP — absenteeism rate metric is workforce health/HR-ops, not hiring or assessment; outside Testlify's scope
444|SKIP|||  |SKIP — compensation analysis is pay-equity/benefits HR-ops; not hiring assessment or screening
447|ADJACENT|~2,800-word what-is overview of hiring manager role, recruiter/HM relationship, and email templates — no assessment or interview toolkit section; no skills-based hiring angle; no structured interview guide for HMs|The Hiring Manager's Assessment Playbook: How to Define Skills, Set Scoring Criteria, and Run Structured Interviews|adds the one missing layer — how to translate a job req into an assessment plan, scoring rubric, and structured interview guide, none of which this page covers|transplant opportunity noted; page is mostly recruiter-HM relationship content; ADJACENT because it's the hiring manager buyer persona
448|SKIP|||  |SKIP — non-monetary incentives is retention/compensation HR-ops; outside Testlify's hiring/assessment scope
449|SKIP|||  |SKIP — reskilling is post-hire L&D/upskilling; outside Testlify's screening and hiring scope
452|SKIP|||  |SKIP — cultural transformation is org-design/leadership/management; outside Testlify's scope
453|ADJACENT|~3,000-word guide on DEI initiatives broadly (13 initiatives) — covers diverse recruitment in one short section but no structured bias-reduction techniques for assessment/testing, no adverse-impact calculation, no data on bias in skills tests vs. interviews; gated survey guide download|Bias-Free Hiring Benchmark: Adverse Impact Calculator + Skills-vs-Interview Bias Data Report|goes beyond policy lists — provides an interactive adverse-impact calculator, original data comparing bias rates in unstructured interviews vs. skills tests, and a downloadable assessment-audit checklist; none of which this page offers|transplanted from: DEI broadly; kept the bias-in-hiring angle which is CORE for Testlify
455|SKIP|||  |SKIP — HR models (Standard Causal Model, Harvard Model, Ulrich etc.) is HR strategy/org design framework content; not hiring or assessment
457|SKIP|||  |SKIP — Strategic HRM (aligning HR strategy to business goals) is HR strategy/org design; not hiring assessment
458|SKIP|||  |SKIP — upskilling is post-hire L&D; outside Testlify's scope
466|SKIP|||  |SKIP — organizational effectiveness models (Ulrich, Balanced Scorecard, McKinsey 7S) is org-design/strategy; outside Testlify's hiring scope
468|ADJACENT|~2,800-word recruitment 101 overview covering types of recruitment, process steps, tools, metrics, skills — only one paragraph on assessments as a recruitment tool; no content on how to build or evaluate assessments; metrics section lists 8 metrics with definitions but no benchmarks or calculator|Recruitment Metrics Benchmark Calculator + Funnel Template (with Assessment-Stage Data)|goes beyond definitions — includes interactive benchmark comparisons for time-to-hire, cost-per-hire, and assessment pass rates by role type, plus a funnel template with assessment stage built in; this page has neither benchmarks nor calculator|transplant source: recruitment basics; kept only the metrics/funnel angle which is CORE
473|ADJACENT|11-metric list of employer branding metrics (candidate NPS, offer acceptance rate, time-to-fill etc.) — all defined but no benchmark data, no calculation formulas with worked examples, no tool for self-scoring; 1,800 words, no interactive element|Candidate Experience & Hiring Metrics Benchmark Report: 2025 Data on NPS, Offer Acceptance, and Assessment Drop-Off|provides what this page withholds — actual benchmark ranges per metric, a worked calculation for each, and original data on how assessment stage affects candidate NPS and drop-off rates|transplanted from: employer branding; kept recruitment-stage metrics that touch screening and candidate experience, which is CORE for Testlify
475|SKIP|||  |SKIP — job rotation is post-hire organizational development/L&D; outside Testlify's hiring scope
476|SKIP|||  |SKIP — employee satisfaction metrics is post-hire engagement/HR-ops; outside Testlify's scope
477|ADJACENT|~2,800-word HR competency model article (AIHR's T-Shaped HR model) — describes competencies HR professionals need but contains no self-assessment tool, no test, no scoring rubric; gated access to full model content; focused on HR practitioner development not hiring|HR Skills Self-Assessment Test for Talent Acquisition & Recruiting Professionals (Free + Scored)|the page describes what HR competencies look like but offers no way to test them; our version is a free, scoreable skills test covering TA-specific competencies (structured interviewing, assessment design, bias identification) with per-skill feedback — all three things this page withholds|transplanted from: HR competency models; kept the assessment-design angle which is CORE
478|SKIP|||  |SKIP — job classification is compensation/grade-banding HR-ops; outside Testlify's hiring scope
479|SKIP|||  |SKIP — People Operations overview is HR management/org structure content; outside Testlify's scope
480|TRANSPLANT|10-trend article on workforce analytics (predictive/prescriptive analytics, AI in HR etc.) — covers hiring-related analytics briefly but makes no mention of assessment analytics, quality-of-hire prediction, or skills-test signal data; ~2,800 words, no original data, no benchmark figures|The Hiring Analytics Benchmark Report: How Skills Assessments Predict Quality-of-Hire (Original Data)|transplants the "analytics trends" format into hiring-specific analytics — provides original data on how assessment scores correlate with 90-day performance, time-to-hire reductions from structured testing, and predictive validity coefficients; none of which this page touches|transplanted from: workforce analytics; kept only the predictive hiring analytics angle which is CORE for Testlify
481|SKIP|||  |SKIP — big data / business intelligence / HR analytics conceptual explainer is general data science applied to HR-ops broadly; outside Testlify's hiring assessment scope
488|SKIP|||  |SKIP — disciplinary action guide is post-hire HR policy/compliance management; outside Testlify's scope
489|SKIP|||  |SKIP — employee retention strategies is post-hire talent management; outside Testlify's scope
491|SKIP|||  |SKIP — performance coaching is post-hire L&D and manager coaching; outside Testlify's scope
492|SKIP|||  |SKIP — sabbatical leave is employee benefits/HR-ops; outside Testlify's hiring scope
